repo_full_name,url,filename
JorgeMIng/PDF_ArticleAnlyzer,https://github.com/JorgeMIng/PDF_ArticleAnlyzer,codemeta.json
zyhu-hu/E3SM_private,https://github.com/zyhu-hu/E3SM_private,codemeta.json
Rafnuss/GeoPressureR,https://github.com/Rafnuss/GeoPressureR,codemeta.json
digital-porous-media/geometric_characterization,https://github.com/digital-porous-media/geometric_characterization,codemeta.json
JiaxuZ/E3SMv2_CL_SOM,https://github.com/JiaxuZ/E3SMv2_CL_SOM,codemeta.json
gopherdata/gophernotes,https://github.com/gopherdata/gophernotes,codemeta.json
instatdealii/idealii,https://github.com/instatdealii/idealii,codemeta.json
QuantumPackage/qp2,https://github.com/QuantumPackage/qp2,codemeta.json
ropensci-review-tools/pkgstats,https://github.com/ropensci-review-tools/pkgstats,codemeta.json
AgrDataSci/gosset,https://github.com/AgrDataSci/gosset,codemeta.json
smnnlt/c3dr,https://github.com/smnnlt/c3dr,codemeta.json
ropensci/eph,https://github.com/ropensci/eph,codemeta.json
siconos/siconos,https://github.com/siconos/siconos,codemeta.json
burkh4rt/Unsupervised-Multimodal-Trajectory-Modeling,https://github.com/burkh4rt/Unsupervised-Multimodal-Trajectory-Modeling,codemeta.json
s3alfisc/fwildclusterboot,https://github.com/s3alfisc/fwildclusterboot,codemeta.json
leonawicz/tabr,https://github.com/leonawicz/tabr,codemeta.json
dieghernan/resmush,https://github.com/dieghernan/resmush,codemeta.json
MITDDC/mdl-1971-1987,https://github.com/MITDDC/mdl-1971-1987,codemeta.json
elipousson/sharepointr,https://github.com/elipousson/sharepointr,codemeta.json
MrGG14/OpenScience,https://github.com/MrGG14/OpenScience,Codemeta.json
janelia-python/mouse_joystick_interface_python,https://github.com/janelia-python/mouse_joystick_interface_python,codemeta.json
elnjensen/Tapir,https://github.com/elnjensen/Tapir,codemeta.json
janelia-python/loadstar_sensors_interface_python,https://github.com/janelia-python/loadstar_sensors_interface_python,codemeta.json
ANRChoucas/QualityMetadataSpatialLandmarkDataset,https://github.com/ANRChoucas/QualityMetadataSpatialLandmarkDataset,codemeta.json
etiennepayet/nti,https://github.com/etiennepayet/nti,codemeta.json
JorgeMIng/Article_Graph,https://github.com/JorgeMIng/Article_Graph,codemeta.json
ropensci-review-tools/pkgcheck,https://github.com/ropensci-review-tools/pkgcheck,codemeta.json
rgcca-factory/RGCCA,https://github.com/rgcca-factory/RGCCA,codemeta.json
janelia-kicad/prism-pcb,https://github.com/janelia-kicad/prism-pcb,codemeta.json
fospald/heamd,https://github.com/fospald/heamd,codemeta.json
ropensci/sofa,https://github.com/ropensci/sofa,codemeta.json
elipousson/filenamr,https://github.com/elipousson/filenamr,codemeta.json
jrybarczyk/levi,https://github.com/jrybarczyk/levi,codemeta.json
demetresfytanides/E3SM_RRM,https://github.com/demetresfytanides/E3SM_RRM,codemeta.json
parham075/Taxi-Fare_Prediction,https://github.com/parham075/Taxi-Fare_Prediction,codemeta.json
jonesor/Rage,https://github.com/jonesor/Rage,codemeta.json
land-info-lab/viewscape,https://github.com/land-info-lab/viewscape,codemeta.json
ropensci/ckanr,https://github.com/ropensci/ckanr,codemeta.json
antydemidov/R-MoTMo,https://github.com/antydemidov/R-MoTMo,codemeta.json
ms609/TreeSearch,https://github.com/ms609/TreeSearch,codemeta.json
pan-training/training-catalogue,https://github.com/pan-training/training-catalogue,codemeta.json
ToowoombaTrio/John_Conner,https://github.com/ToowoombaTrio/John_Conner,codemeta.json
mpadge/spatialcluster,https://github.com/mpadge/spatialcluster,codemeta.json
LanguageMachines/ticcltools,https://github.com/LanguageMachines/ticcltools,codemeta.json
Wimmics/corese,https://github.com/Wimmics/corese,codemeta.json
ellfran-7/cluefish,https://github.com/ellfran-7/cluefish,codemeta.json
LEEF-UZH/zenDep,https://github.com/LEEF-UZH/zenDep,codemeta.json
rsdoiel/lablr,https://github.com/rsdoiel/lablr,codemeta.json
karthik/wesanderson,https://github.com/karthik/wesanderson,codemeta.json
mikemahoney218/mvdf,https://github.com/mikemahoney218/mvdf,codemeta.json
greta-dev/greta,https://github.com/greta-dev/greta,codemeta.json
ropensci/nuts,https://github.com/ropensci/nuts,codemeta.json
inpefess/gym-saturation,https://github.com/inpefess/gym-saturation,codemeta.json
SimTech-Research-Data-Management/harvester-curator,https://github.com/SimTech-Research-Data-Management/harvester-curator,codemeta.json
ropensci/aorsf,https://github.com/ropensci/aorsf,codemeta.json
caltechlibrary/cloud-init-examples,https://github.com/caltechlibrary/cloud-init-examples,codemeta.json
crp2a/BayLum,https://github.com/crp2a/BayLum,codemeta.json
ipeaGIT/gtfstools,https://github.com/ipeaGIT/gtfstools,codemeta.json
bihealth/altamisa,https://github.com/bihealth/altamisa,codemeta.json
aaronm-2112/codefair-test-repo,https://github.com/aaronm-2112/codefair-test-repo,codemeta.json
CLaag/LESLIE,https://github.com/CLaag/LESLIE,codemeta.json
R-Lum/RLumModel,https://github.com/R-Lum/RLumModel,codemeta.json
howardbaik/audrey,https://github.com/howardbaik/audrey,codemeta.json
bvhpatel/my-data-analysis-code,https://github.com/bvhpatel/my-data-analysis-code,codemeta.json
mpadge/jsonschema,https://github.com/mpadge/jsonschema,codemeta.json
rOpenGov/giscoR,https://github.com/rOpenGov/giscoR,codemeta.json
NanoComp/meep,https://github.com/NanoComp/meep,codemeta.json
ropensci/rangr,https://github.com/ropensci/rangr,codemeta.json
ropensci/DataSpaceR,https://github.com/ropensci/DataSpaceR,codemeta.json
willgryan/PAVER,https://github.com/willgryan/PAVER,codemeta.json
rreinecke/global-gradient-based-groundwater-model,https://github.com/rreinecke/global-gradient-based-groundwater-model,codemeta.json
mscroggs/pyfax,https://github.com/mscroggs/pyfax,codemeta.json
UrbanAnalyst/naturoute,https://github.com/UrbanAnalyst/naturoute,codemeta.json
UrbanAnalyst/us-hardship-index,https://github.com/UrbanAnalyst/us-hardship-index,codemeta.json
UrbanAnalyst/m4ra,https://github.com/UrbanAnalyst/m4ra,codemeta.json
adamhsparks/ChickpeaAscoDispersal,https://github.com/adamhsparks/ChickpeaAscoDispersal,codemeta.json
gemini3d/gemini3d,https://github.com/gemini3d/gemini3d,codemeta.json
mlsquared/Panako_Adjusted,https://github.com/mlsquared/Panako_Adjusted,codemeta.json
heuermh/cooper,https://github.com/heuermh/cooper,codemeta.json
ropensci/taxizedb,https://github.com/ropensci/taxizedb,codemeta.json
mychem/mychem-code,https://github.com/mychem/mychem-code,codemeta.json
ropensci/rdhs,https://github.com/ropensci/rdhs,codemeta.json
kaylai/VESIcal,https://github.com/kaylai/VESIcal,codemeta.json
aravind-j/PGRdup,https://github.com/aravind-j/PGRdup,codemeta.json
ludovicmoncla/perdido,https://github.com/ludovicmoncla/perdido,codemeta.json
bioc/drugfindR,https://github.com/bioc/drugfindR,codemeta.json
lauramble/servicemeta,https://github.com/lauramble/servicemeta,codemeta.json
explore-platform/g-tomo,https://github.com/explore-platform/g-tomo,codemeta.json
visualon/sat4j,https://github.com/visualon/sat4j,codemeta.json
caltechlibrary/wsfn,https://github.com/caltechlibrary/wsfn,codemeta.json
agricolamz/lingglosses,https://github.com/agricolamz/lingglosses,codemeta.json
pachadotdev/presupuestochile,https://github.com/pachadotdev/presupuestochile,codemeta.json
cristal-smac/ioda,https://github.com/cristal-smac/ioda,codemeta.json
super-lou/NCf,https://github.com/super-lou/NCf,codemeta.json
super-lou/EXstat,https://github.com/super-lou/EXstat,codemeta.json
FIPE18-007-VERMEULEN/xapi-profile-card-game,https://github.com/FIPE18-007-VERMEULEN/xapi-profile-card-game,codemeta.json
FIPE18-007-VERMEULEN/xapi-profile-agile,https://github.com/FIPE18-007-VERMEULEN/xapi-profile-agile,codemeta.json
datapumpernickel/milRex,https://github.com/datapumpernickel/milRex,codemeta.json
crillab/gophersat,https://github.com/crillab/gophersat,codemeta.json
danielvartan/opendatasus,https://github.com/danielvartan/opendatasus,codemeta.json
Ramy-Badr-Ahmed/php-swh-client,https://github.com/Ramy-Badr-Ahmed/php-swh-client,codemeta.json
tesselle/ananke,https://github.com/tesselle/ananke,codemeta.json
BlauGroup/RNMC,https://github.com/BlauGroup/RNMC,codemeta.json
sjentsch/jmvReadWrite,https://github.com/sjentsch/jmvReadWrite,codemeta.json
nfrerebeau/odyssey,https://github.com/nfrerebeau/odyssey,codemeta.json
riatelab/flows,https://github.com/riatelab/flows,codemeta.json
