Repo,URL,File
tonyfischetti/assertr,https://github.com/tonyfischetti/assertr,codemeta.json
ArchaeoStat/ArchaeoPhases,https://github.com/ArchaeoStat/ArchaeoPhases,codemeta.json
caseyyoungflesh/MCMCvis,https://github.com/caseyyoungflesh/MCMCvis,codemeta.json
alandtse/auth_capture_proxy,https://github.com/alandtse/auth_capture_proxy,codemeta.json
ropensci/binman,https://github.com/ropensci/binman,codemeta.json
eagles-project/e3sm_mam4_refactor,https://github.com/eagles-project/e3sm_mam4_refactor,codemeta.json
pachadotdev/leontief,https://github.com/pachadotdev/leontief,codemeta.json
ms609/Rogue,https://github.com/ms609/Rogue,codemeta.json
vliz-be-opsci/open-code-tracking,https://github.com/vliz-be-opsci/open-code-tracking,codemeta.json
caltechlibrary/pairtree,https://github.com/caltechlibrary/pairtree,codemeta.json
gabrielblain/PowerSDI,https://github.com/gabrielblain/PowerSDI,codemeta.json
cristal-smac/atom,https://github.com/cristal-smac/atom,codemeta.json
epfllibrary/costcalc,https://github.com/epfllibrary/costcalc,CODEMETA.json
biogo/biogo,https://github.com/biogo/biogo,codemeta.json
RobinDenz1/simDAG,https://github.com/RobinDenz1/simDAG,codemeta.json
ATFutures/exposure,https://github.com/ATFutures/exposure,codemeta.json
2xs/pip-mpu-armv7-hello-world,https://github.com/2xs/pip-mpu-armv7-hello-world,codemeta.json
LanguageMachines/dimbl,https://github.com/LanguageMachines/dimbl,codemeta.json
wlandau/crew,https://github.com/wlandau/crew,codemeta.json
LanguageMachines/libfolia,https://github.com/LanguageMachines/libfolia,codemeta.json
ropensci/karel,https://github.com/ropensci/karel,codemeta.json
dusadrian/declared,https://github.com/dusadrian/declared,codemeta.json
FairRootGroup/FairRoot,https://github.com/FairRootGroup/FairRoot,codemeta.json
getwilds/cancerprof,https://github.com/getwilds/cancerprof,codemeta.json
fairdataihub/SODA-for-SPARC,https://github.com/fairdataihub/SODA-for-SPARC,codemeta.json
Lukas-Novak/psychtoolbox,https://github.com/Lukas-Novak/psychtoolbox,codemeta.json
SATVILab/projr,https://github.com/SATVILab/projr,codemeta.json
caltechlibrary/dataciteapi,https://github.com/caltechlibrary/dataciteapi,codemeta.json
proycon/colloquery,https://github.com/proycon/colloquery,codemeta.json
proycon/oersetter-webservice,https://github.com/proycon/oersetter-webservice,codemeta.json
benjiche/Plagiator-bch,https://github.com/benjiche/Plagiator-bch,codemeta.json
JordanIschard/DeBrLevel,https://github.com/JordanIschard/DeBrLevel,codemeta.json
j-faria/kima,https://github.com/j-faria/kima,codemeta.json
bcm-uga/hdmax2,https://github.com/bcm-uga/hdmax2,codemeta.json
ropensci/epubr,https://github.com/ropensci/epubr,codemeta.json
fchuffar/dmethr,https://github.com/fchuffar/dmethr,codemeta.json
ropensci/Rpolyhedra,https://github.com/ropensci/Rpolyhedra,codemeta.json
cau-se/theodolite,https://github.com/cau-se/theodolite,codemeta.json
Craig-PT/tsgc,https://github.com/Craig-PT/tsgc,codemeta.json
MrGG14/Electricity-Price-Forecast-TFT,https://github.com/MrGG14/Electricity-Price-Forecast-TFT,Codemeta.json
vuillaut/sandbox,https://github.com/vuillaut/sandbox,codemeta.json
NVlabs/E3SM,https://github.com/NVlabs/E3SM,codemeta.json
CCSDForge/episciences,https://github.com/CCSDForge/episciences,codemeta.json
brightway-lca/brightway2,https://github.com/brightway-lca/brightway2,codemeta.json
ropensci/riem,https://github.com/ropensci/riem,codemeta.json
fusion-jena/XSearchKG,https://github.com/fusion-jena/XSearchKG,codemeta.json
amasson84/costcalc,https://github.com/amasson84/costcalc,CODEMETA.json
ropensci/baRulho,https://github.com/ropensci/baRulho,codemeta.json
pat-s/oddsratio,https://github.com/pat-s/oddsratio,codemeta.json
ropensci/tic,https://github.com/ropensci/tic,codemeta.json
giscience-fsu/sperrorest,https://github.com/giscience-fsu/sperrorest,codemeta.json
ropensci/DataPackageR,https://github.com/ropensci/DataPackageR,codemeta.json
ropensci/melt,https://github.com/ropensci/melt,codemeta.json
ropensci/rerddap,https://github.com/ropensci/rerddap,codemeta.json
stain/signposting,https://github.com/stain/signposting,codemeta.json
ropensci/crul,https://github.com/ropensci/crul,codemeta.json
matthiasprobst/ssnolib,https://github.com/matthiasprobst/ssnolib,codemeta.json
ropensci/tiler,https://github.com/ropensci/tiler,codemeta.json
