repo_full_name,repo_metadata_error,repo_html_url,repo_stargazers_count,repo_forks_count,repo_created_at,repo_pushed_at,repo_language,repo_license_spdx_id,target_metadata_filename,fetch_status,fetch_error,parse_status,parse_error,completeness_score,completeness_missing_keys,schema_valid,schema_errors,core_score,core_missing,extended_score,extended_missing,present_fields_count,all_fields_count,present_fields
ms609/TreeSearch,,https://github.com/ms609/TreeSearch,7,4,2017-07-24T09:09:45+00:00,2025-03-25T10:25:15+00:00,R,GPL-3.0,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.23076923076923078,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;contributor;copyrightYear;editor;encoding;fileFormat;funder;keywords;producer;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;review;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;referencePublication;readme;hasSourceCode;isSourceCodeOf,20,61,@context;@type;identifier;description;name;relatedLink;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;provider;author;copyrightHolder;maintainer;softwareSuggestions;softwareRequirements;fileSize;citation
pan-training/training-catalogue,,https://github.com/pan-training/training-catalogue,3,0,2021-03-26T12:56:13+00:00,2025-01-27T13:48:14+00:00,Ruby,NOASSERTION,codemeta.json,found,,True,,1.0,,True,,1.0,,0.1346153846153846,runtimePlatform;targetProduct;applicationCategory;applicationSubCategory;fileSize;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareRequirements;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;review;softwareSuggestions;maintainer;continuousIntegration;buildInstructions;embargoEndDate;funding;referencePublication;readme;hasSourceCode;isSourceCodeOf,18,61,@context;@type;identifier;description;name;codeRepository;issueTracker;license;version;author;contIntegration;developmentStatus;downloadUrl;keywords;softwareVersion;dateCreated;datePublished;programmingLanguage
ToowoombaTrio/John_Conner,,https://github.com/ToowoombaTrio/John_Conner,2,1,2016-07-29T11:46:34+00:00,2017-09-03T12:23:37+00:00,HTML,MIT,codemeta.json,found,,True,,1.0,,True,,1.0,,0.19230769230769232,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;keywords;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;review;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;referencePublication;hasSourceCode;isSourceCodeOf,20,61,@context;@type;identifier;description;name;codeRepository;issueTracker;datePublished;license;version;programmingLanguage;runtimePlatform;author;contributor;maintainer;softwareSuggestions;softwareRequirements;contIntegration;readme;fileSize
mpadge/spatialcluster,,https://github.com/mpadge/spatialcluster,31,6,2018-03-13T20:56:49+00:00,2025-01-19T16:33:19+00:00,C++,,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.21153846153846154,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;review;continuousIntegration;buildInstructions;embargoEndDate;funding;referencePublication;hasSourceCode;isSourceCodeOf,20,61,@context;@type;identifier;description;name;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;author;maintainer;softwareSuggestions;softwareRequirements;fileSize;readme;contIntegration;developmentStatus;keywords
LanguageMachines/ticcltools,,https://github.com/LanguageMachines/ticcltools,14,4,2015-10-28T14:42:46+00:00,2024-12-16T14:00:20+00:00,C++,GPL-3.0,codemeta.json,found,,True,,1.0,,True,,1.0,,0.23076923076923078,runtimePlatform;targetProduct;applicationCategory;applicationSubCategory;downloadUrl;fileSize;installUrl;memoryRequirements;permissions;processorRequirements;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;relatedLink;review;softwareSuggestions;maintainer;continuousIntegration;buildInstructions;embargoEndDate;funding;hasSourceCode;isSourceCodeOf,24,61,@context;@type;identifier;name;version;description;license;url;author;sourceOrganization;programmingLanguage;operatingSystem;codeRepository;softwareRequirements;funder;readme;issueTracker;contIntegration;releaseNotes;developmentStatus;keywords;referencePublication;dateCreated;entryPoints
Wimmics/corese,,https://github.com/Wimmics/corese,112,29,2015-05-27T14:21:57+00:00,2025-01-28T12:55:36+00:00,Java,NOASSERTION,codemeta.json,found,,True,,1.0,,True,,1.0,,0.2692307692307692,targetProduct;applicationSubCategory;fileSize;installUrl;memoryRequirements;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;copyrightHolder;copyrightYear;editor;encoding;fileFormat;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;review;softwareSuggestions;maintainer;continuousIntegration;buildInstructions;embargoEndDate;funding;readme;hasSourceCode;isSourceCodeOf,25,61,@context;@type;license;codeRepository;dateCreated;datePublished;dateModified;downloadUrl;issueTracker;name;version;identifier;description;applicationCategory;developmentStatus;referencePublication;funder;keywords;programmingLanguage;runtimePlatform;operatingSystem;softwareRequirements;relatedLink;author;contributor
ellfran-7/cluefish,,https://github.com/ellfran-7/cluefish,0,0,2024-10-16T09:28:56+00:00,2025-04-02T14:44:39+00:00,R,NOASSERTION,codemeta.json,found,,True,,0.8888888888888888,@type,False,Validation Error: '@type' is a required property (Path: ),0.8888888888888888,@type,0.2692307692307692,targetProduct;applicationSubCategory;fileSize;installUrl;memoryRequirements;permissions;processorRequirements;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;copyrightHolder;copyrightYear;editor;encoding;fileFormat;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;identifier;sameAs;url;relatedLink;review;softwareSuggestions;maintainer;buildInstructions;embargoEndDate;referencePublication;readme;hasSourceCode;isSourceCodeOf,26,61,@context;type;applicationCategory;author;codeRepository;contributor;dateCreated;dateModified;datePublished;description;downloadUrl;funder;keywords;license;name;operatingSystem;programmingLanguage;releaseNotes;runtimePlatform;softwareRequirements;version;codemeta:contIntegration;continuousIntegration;developmentStatus;funding;issueTracker
LEEF-UZH/zenDep,,https://github.com/LEEF-UZH/zenDep,0,0,2022-08-16T12:34:56+00:00,2024-07-11T13:19:21+00:00,HTML,NOASSERTION,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.15384615384615385,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;keywords;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;review;softwareSuggestions;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;referencePublication;readme;hasSourceCode;isSourceCodeOf,16,61,@context;@type;identifier;description;name;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;author;funder;maintainer;softwareRequirements;fileSize
rsdoiel/lablr,,https://github.com/rsdoiel/lablr,0,0,2019-06-16T17:15:26+00:00,2020-06-27T00:30:35+00:00,Python,BSD-3-Clause,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,False,"Validation Error: 'https://orcid.org/0000-0003-0900-6903' is not of type 'array', 'object' (Path: maintainer)",0.8888888888888888,datePublished/Modified/Created,0.11538461538461539,runtimePlatform;targetProduct;applicationCategory;applicationSubCategory;fileSize;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareRequirements;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;identifier;sameAs;url;relatedLink;review;softwareSuggestions;continuousIntegration;buildInstructions;embargoEndDate;funding;referencePublication;readme;hasSourceCode;isSourceCodeOf,14,61,@context;@type;description;name;codeRepository;issueTracker;license;version;author;developmentStatus;downloadUrl;keywords;maintainer;programmingLanguage
karthik/wesanderson,,https://github.com/karthik/wesanderson,2000,147,2014-03-18T06:55:09+00:00,2024-06-13T20:44:06+00:00,R,NOASSERTION,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.23076923076923078,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;producer;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;review;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;referencePublication;hasSourceCode;isSourceCodeOf,21,61,@context;@type;identifier;description;name;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;provider;author;contributor;maintainer;softwareSuggestions;softwareRequirements;fileSize;readme;contIntegration;keywords
